overall_rank,variant,model,RMSE_log_mean,RMSE_log_std,RMSE_log_ci_lower,RMSE_log_ci_upper,MAE_log_mean,MAE_log_std,MAE_log_ci_lower,MAE_log_ci_upper,R2_log_mean,R2_log_std,R2_log_ci_lower,R2_log_ci_upper
1,without_outlier_adaptive,ExtraTrees,0.672212068919294,0.04541418245382186,0.6302109553635369,0.7142131824750511,0.5426782464872844,0.04610543136805718,0.5000378343121673,0.5853186586624014,0.67031161894682,0.08903706661837829,0.5879660664421024,0.7526571714515377
2,without_outlier_adaptive,LightGBM,0.672671638271394,0.053619409824628664,0.6230819550677634,0.7222613214750245,0.546191287185695,0.05902143901343952,0.4916055602545027,0.6007770141168873,0.6687560208633193,0.09550093051444258,0.58043239131662,0.7570796504100186
3,with_outlier_default_adaptive,ExtraTrees,0.6735401135199688,0.050736451407007846,0.6266167221514525,0.7204635048884851,0.5427434013231692,0.04927687211462525,0.49716989565754605,0.5883169069887924,0.6691874335576475,0.0894481636096757,0.5864616797483821,0.7519131873669129
4,with_outlier_default_adaptive,LightGBM,0.6736317882809313,0.05115038360581028,0.6263255734782607,0.7209380030836019,0.5446359991134735,0.05845205771151675,0.49057686205853623,0.5986951361684107,0.6690691451709189,0.08912879876626023,0.5866387545792485,0.7514995357625892
5,with_outlier_default_linear,XGBoost,0.673947157109186,0.037359168933072374,0.6393956885607384,0.7084986256576336,0.5486271941729155,0.039340376319531356,0.5122434143965651,0.5850109739492659,0.6697070068732235,0.08113065041827398,0.5946736697756052,0.7447403439708418
6,without_outlier_linear,ExtraTrees,0.6746238647915408,0.04980100816209273,0.6285656141308771,0.7206821154522045,0.5455125827692382,0.0499641250476431,0.49930347415049436,0.591721691387982,0.6675236586678108,0.09257716377965722,0.5819040623548516,0.7531432549807701
7,without_outlier_adaptive,CatBoost,0.6747261291308396,0.05143656276319708,0.6271552427512026,0.7222970155104766,0.5499871512610536,0.06046915173650031,0.49406251337315255,0.6059117891489546,0.6664885643902183,0.09728229912877176,0.5765174436543695,0.7564596851260671
8,with_outlier_default_linear,LightGBM,0.6747875877693427,0.04762936061606031,0.6307377761084724,0.718837399430213,0.5490101165349214,0.056829858848174965,0.49645126320167215,0.6015689698681705,0.6678118212760802,0.08902128329968409,0.5854808659065512,0.7501427766456091
9,with_outlier_default_linear,ExtraTrees,0.6747992554314258,0.04707092684998641,0.6312659088648263,0.7183326019980254,0.5437270480914718,0.04613789837867944,0.5010566089396201,0.5863974872433234,0.6678304959929672,0.0901085340557987,0.5844940013842901,0.7511669906016443
10,without_outlier_adaptive,XGBoost,0.6763206526449271,0.04385952285469481,0.6357573594095045,0.7168839458803498,0.5475384837976406,0.043445144394997866,0.5073584267188633,0.5877185408764178,0.6675093683470902,0.08083252662696142,0.5927517497703398,0.7422669869238405
11,with_outlier_default_linear,CatBoost,0.6770875338224481,0.04800570788226267,0.6326896589925395,0.7214854086523568,0.5501356011133639,0.054412563559382024,0.49981237305038406,0.6004588291763437,0.6669084994712723,0.08224618404305821,0.5908434658436665,0.742973533098878
12,with_outlier_default_adaptive,CatBoost,0.6774763913774969,0.04204457701435445,0.6385916430859406,0.7163611396690532,0.5526118223119336,0.04856337080768202,0.5076981952964563,0.5975254493274109,0.6644225594837169,0.09340343225863246,0.5780387922810082,0.7508063266864256
13,without_outlier_adaptive,RandomForest,0.6780970863772653,0.042284370613969,0.6389905659946316,0.717203606759899,0.5553437910719292,0.043661699481816627,0.514963453941831,0.5957241282020275,0.6649797264701564,0.08687748160895815,0.5846314569795323,0.7453279959607804
14,without_outlier_linear,XGBoost,0.6782717228197731,0.04569646115093238,0.6360095450111526,0.7205339006283936,0.5549329865510564,0.047609660559948995,0.5109013944033223,0.5989645786987905,0.6641852990414397,0.09016627293725771,0.5807954048737326,0.7475751932091469
15,with_outlier_default_linear,RandomForest,0.6787509968153204,0.05248881905464393,0.6302069356783978,0.7272950579522429,0.5541960008018849,0.05511120395446396,0.5032266381399103,0.6051653634638595,0.6645785889033434,0.08688037658698394,0.5842276420046008,0.7449295358020861
16,with_outlier_default_adaptive,RandomForest,0.6789526395038971,0.05247222425114487,0.6304239260004347,0.7274813530073594,0.5539990777289352,0.054786524620833034,0.5033299933682359,0.6046681620896345,0.6641260297163696,0.08843230915564144,0.5823397845798277,0.7459122748529114
17,without_outlier_adaptive,HistGradientBoosting,0.6790917986559997,0.060152657207233146,0.6234598693878574,0.734723727924142,0.5493868670954265,0.07417126315379748,0.48078988972025805,0.617983844470595,0.665081119531042,0.08479012001387634,0.5866633375368318,0.7434989015252522
18,without_outlier_linear,LightGBM,0.6791494547806608,0.05309167569152734,0.6300478442462712,0.7282510653150503,0.5505480747698549,0.05936951626768978,0.49564043006998304,0.6054557194697268,0.6640838458034295,0.08775346797522374,0.5829254240463801,0.7452422675604788
19,with_outlier_default_adaptive,HistGradientBoosting,0.6797604846398304,0.05922536133673008,0.6249861610149557,0.7345348082647051,0.5514321957407314,0.07297437813077473,0.4839421523903311,0.6189222390911318,0.6634663546126844,0.09012773098464678,0.5801121058059814,0.7468206034193875
