variant,model,Well_A,Well_B,Well_C,Well_D,Well_E,Well_F,Well_G
without_outlier_adaptive,ExtraTrees,0.4863942365621324,0.599857754547162,0.5026518138870181,0.4985495522356078,0.5531003979903667,0.5808507875502955,0.5773431826384081
without_outlier_adaptive,LightGBM,0.485762699944229,0.6014718984974816,0.4702746188961257,0.5254351851023191,0.5369014450689656,0.572247576815443,0.631245585975301
with_outlier_default_adaptive,ExtraTrees,0.4818089322369621,0.608938960944329,0.4884461807076122,0.5095723464332504,0.5594963306016213,0.5767158470875616,0.5742252112508476
with_outlier_default_adaptive,LightGBM,0.4959088006891184,0.5902072121917952,0.4672473667313055,0.5164230212304225,0.5574896301797985,0.5451548210746727,0.6400211416972017
with_outlier_default_linear,XGBoost,0.5250566131961456,0.606242586912689,0.4979234710456376,0.5359082297386137,0.521604050453286,0.5634587456228165,0.5901966622412196
without_outlier_linear,ExtraTrees,0.482391577358128,0.6038176646606462,0.5000484344899647,0.4989576320789484,0.5652858261888997,0.5843142006100895,0.583772743997991
without_outlier_adaptive,CatBoost,0.4874328390189831,0.5937307740723434,0.4818180654318688,0.5110451991968028,0.5472900547095755,0.5853968382615948,0.643196288136207
with_outlier_default_linear,LightGBM,0.5048401705162743,0.6040536941707007,0.4589987649997336,0.5370974978075166,0.5441220002357247,0.569347148742391,0.6246115392721086
with_outlier_default_linear,ExtraTrees,0.4888201802915081,0.6052768456523541,0.4964805544658874,0.506799527859651,0.553875237051654,0.5774748933069543,0.5773620980122935
without_outlier_adaptive,XGBoost,0.5034824007230536,0.5917931176684628,0.4857118832704928,0.5448664391597713,0.5469890750792287,0.5526431591742526,0.6072833115082226
