variant,model,Well_A,Well_B,Well_C,Well_D,Well_E,Well_F,Well_G
without_outlier_adaptive,ExtraTrees,0.7690359083815242,0.6887208650177266,0.7021273823686265,0.7074986234619836,0.716178609908514,0.4992257251186045,0.6093942183707607
without_outlier_adaptive,LightGBM,0.763306250906071,0.7061876894492265,0.7435848905618235,0.6670082862669666,0.7240254890654667,0.5082742924370998,0.5689052473565817
with_outlier_default_adaptive,ExtraTrees,0.7720045381861332,0.6732098343642968,0.7127431933909552,0.704471888904088,0.7108379568640977,0.4976348167025465,0.613409806491416
with_outlier_default_adaptive,LightGBM,0.7502801829538939,0.7143372604655769,0.7449603831881901,0.6802057541481741,0.7050431132766911,0.525338999330093,0.5633183228338126
with_outlier_default_linear,XGBoost,0.739439158198473,0.6967313017423722,0.7155902068674519,0.6550318471572852,0.7445020398753317,0.5162236364302291,0.6204308578414217
without_outlier_linear,ExtraTrees,0.7740323091666372,0.6841362343484831,0.7078754763946018,0.7066746693263024,0.7053553404150417,0.4911650071431914,0.6034265738804178
without_outlier_adaptive,CatBoost,0.7647536739176125,0.7094259345724524,0.7276100018008069,0.6828096762326945,0.718196125172061,0.4992008790281704,0.5634236600077305
with_outlier_default_linear,LightGBM,0.7465536201259779,0.7057340838424433,0.7509739957922963,0.6506009891323026,0.7168420535005244,0.5103693542418608,0.5936086522971566
with_outlier_default_linear,ExtraTrees,0.7652947495015872,0.6802641171000456,0.7091869829744566,0.7030903090395437,0.714148109576219,0.4928520018338194,0.6099772019250984
without_outlier_adaptive,XGBoost,0.7506065709533407,0.7109384903274851,0.7249254068466953,0.6472843957342083,0.7197975664359082,0.5415728537350881,0.5774402943969055
