variant,model,Well_A,Well_B,Well_C,Well_D,Well_E,Well_F,Well_G
without_outlier_adaptive,ExtraTrees,0.6139657696086728,0.733307494933392,0.6475012307345283,0.6321539946372022,0.662071896145256,0.6953000894995021,0.721184006876504
without_outlier_adaptive,LightGBM,0.6215346148938763,0.7124364199379375,0.6007546120887036,0.6744901981192465,0.6528555162300687,0.6889897116811253,0.7576403949487996
with_outlier_default_adaptive,ExtraTrees,0.6100072934284139,0.751355738329939,0.6358584856069347,0.6354162665188889,0.6682719525811235,0.6964036621809232,0.7174673959935589
with_outlier_default_adaptive,LightGBM,0.6384081613343223,0.7024863934619915,0.5991411254602494,0.6609890303120126,0.6749348636195573,0.6769288990502063,0.7625340447281799
with_outlier_default_linear,XGBoost,0.652118469541407,0.7238105549613123,0.6326996300371389,0.6865124713170664,0.628168725319285,0.6833978415067959,0.7109224070812962
without_outlier_linear,ExtraTrees,0.6072885600853826,0.7386879637892587,0.6412233310412611,0.6330437333629686,0.6745775422820867,0.7008737024276371,0.7266722205521906
without_outlier_adaptive,CatBoost,0.6196313050958544,0.708499491992007,0.6191856541856837,0.6582924809930318,0.6597145643510729,0.6953173380638673,0.7624420692343596
with_outlier_default_linear,LightGBM,0.6431539962295763,0.7129861595311492,0.5920353751131195,0.6909072740824437,0.661297633946903,0.6875203794696396,0.7356122960125672
with_outlier_default_linear,ExtraTrees,0.6189183069806043,0.7432018936907451,0.6397823109171985,0.6368998050858556,0.6644359557571513,0.6997108973250669,0.7206456182633597
without_outlier_adaptive,XGBoost,0.6379908198213944,0.706653072541919,0.6222294279318958,0.6941786719650137,0.6578373733907811,0.6652523898368395,0.7501028130266462
