rank,subset_id,features,n_features,cost,RMSE_log_mean,RMSE_log_std,RMSE_log_ci,MAE_log_mean,MAE_log_std,MAE_log_ci,R2_log_mean,R2_log_std,R2_log_ci,RMSE_mean,RMSE_std,RMSE_ci,MAE_mean,MAE_std,MAE_ci,R2_mean,R2_std,R2_ci
1,0,(DEPTH-only),0,0,1.1174387147024052,0.1131333043406004,1.2220695702149809,0.9183403076285676,0.0949962620689436,1.006197196709137,0.1081856123552465,0.1420707950835396,-0.0232079584379292,206.94943591820189,86.28086285917941,286.7459250947262,75.55249216492582,43.29353147221587,115.59233067667812,-0.0751034971991204,0.0996949327058634,-0.1673059318409917
2,1,GR,1,1,1.0768158348781134,0.0400396576637316,1.1138463420325255,0.8793349224062034,0.0437160267450905,0.9197655038747584,0.1621629700838896,0.1732075637529871,0.0019726911704129,204.15543648698355,88.24262353585947,285.76625168455297,71.65939614707487,44.72106677824515,113.01948461718226,-0.0291232055789272,0.0430196328716386,-0.0689097301344654
3,12,"DRHO,RHOB",2,2,0.879220590038995,0.0798631948591374,0.9530817262515638,0.6988665652961463,0.0596776298472799,0.7540591675301013,0.4320666738166499,0.1728962305283805,0.2721643301122607,196.4887889399206,87.66845141822765,277.56858349569546,66.25728674001233,42.65976658730181,105.7109904925186,0.049360795432141,0.0754778542951092,-0.0204445772048596
4,140,"DRHO,RHOB,PEF",3,3,0.8403723918479986,0.0788433066276965,0.9132902887659596,0.6748627936539215,0.0606141043995282,0.7309214903959314,0.4777938539060851,0.1797544533133828,0.3115487120179685,197.6462578164612,89.0945898250152,280.0450104142666,66.90269190718352,42.31217284637624,106.0349250662528,0.041512495264027,0.0813121502966284,-0.0336887012244075
5,152,"RHOB,NPHI,PEF",3,5,0.8193113594385518,0.1006038297489976,0.9123543836464248,0.6572858035636182,0.0821769194071785,0.7332867780872219,0.496941651942448,0.2045457563060277,0.3077683788863193,197.47335871391397,91.33987360040447,281.94865246515565,67.25516970235418,42.94455569885272,106.97225945384557,0.0492772351579929,0.0964478167028953,-0.0399221180542379
6,640,"PEF,PHIT",2,7,0.8133576922270201,0.0866969673080394,0.8935390138339289,0.6570752706900539,0.0715529330016224,0.7232506965562903,0.5076400443588376,0.1848251729408192,0.3367052689823736,196.9453305427092,90.7431979597188,280.86879136453774,67.46162090785865,42.52414180955676,106.7898926613008,0.0582915700473781,0.0751904461544059,-0.011247994392661
7,704,"CT,PEF,PHIT",3,9,0.8069055219236133,0.0939780509335814,0.8938207227647527,0.6517883732523883,0.0830246823269129,0.72857339770789,0.5128212795310602,0.1931638015159037,0.3341745589701259,192.15105907789956,85.7626251828833,271.4682583428832,65.88861206732598,40.874224718342646,103.6909650138815,0.0959856057308845,0.0694991712341285,0.0317095927033731
8,4096,CPOR_SM,1,10,0.739412922760068,0.0366116199840975,0.7732730238413966,0.589734861405195,0.0421883712503018,0.6287525971844999,0.599017357862965,0.1180173221995337,0.4898695391988454,192.4010940551181,91.14101228024096,276.69247175990165,64.7682283274794,42.31136523783699,103.89971457322486,0.090948247326786,0.1547449847556956,-0.0521669938980597
9,4098,"CALI,CPOR_SM",2,11,0.6958585956754997,0.0354408569798744,0.7286359215700844,0.5620541247951522,0.0348516829615143,0.5942865556038371,0.6480537787716091,0.0866648675281073,0.5679021445096925,192.42726562502617,89.45935670944971,275.16337132502804,63.50176024881736,41.80867428098468,102.1683349004,0.0950380382532664,0.0986777609572999,0.0037763305783632
10,4236,"DRHO,RHOB,PEF,CPOR_SM",4,13,0.6788091185473631,0.0445419836903529,0.7200035827850377,0.53984110615221,0.0362907505110251,0.5734044524656026,0.6642435956324523,0.0888690475830543,0.5820534348181905,190.4221195528743,85.78990163470405,269.7645453283536,63.075931109431984,39.52652990848203,99.63187424105762,0.1016520055346413,0.1309739532568123,-0.0194786982753277
11,4238,"CALI,DRHO,RHOB,PEF,CPOR_SM",5,14,0.6751399851272163,0.0507155159513785,0.7220440144286047,0.5431552239402453,0.0398635235038593,0.580022834165766,0.6674473313168274,0.0918324139321703,0.5825165137338769,189.45263956911504,84.25717034727724,267.3775253301036,62.716422567753405,39.54928481013853,99.29341047342945,0.1129937413750748,0.0946849338053705,0.0254247829154024
12,4300,"DRHO,RHOB,CT,PEF,CPOR_SM",5,15,0.672739554374226,0.0482968096800534,0.7174066534641491,0.5402453478262137,0.0444367552751164,0.5813424920114545,0.6697711890566547,0.0908977977735396,0.5857047472543232,188.867907404132,83.66360952573824,266.243840962952,62.543244484753295,39.16735174811047,98.7670032218706,0.1125928338255361,0.1239797585717348,-0.0020693187670304
13,4290,"CALI,CT,PEF,CPOR_SM",4,16,0.6623347505021382,0.0585111930702642,0.7164485786421884,0.5393322559047251,0.0522192447141635,0.5876270023589988,0.681101385422575,0.0837969226029294,0.6036021578311195,190.02946957548835,83.10892157116129,266.89240233787467,62.26650501745469,39.23613985639114,98.5538821440502,0.10599328959383,0.0722570953164945,0.0391666222045583
14,4326,"CALI,DRHO,RT,CT,PEF,CPOR_SM",6,18,0.6608717417237714,0.0638068868943051,0.71988326978138,0.5363798056546007,0.0539785946290782,0.5863016793974869,0.6816122840227283,0.0899437150046674,0.5984282216127318,188.10618477142364,82.13989788809958,264.0729201005108,61.7367673859777,38.558332820449465,97.3972775572025,0.1193531790314013,0.101344818506729,0.025624854521389
15,4550,"CALI,DRHO,CT,PEF,MSFL,CPOR_SM",6,21,0.6584523971405984,0.0560885942655358,0.7103256950762151,0.5329171747091447,0.0495409440778341,0.5787349062071916,0.683453263828283,0.0896236693712892,0.600565194261584,191.16490933500103,82.81989341032781,267.7605356316963,62.37458384224429,39.178441227516565,98.60859863724136,0.0927743624201935,0.0727016692768593,0.0255365326938656
