rank,feature,mean_abs_shap
1,CPOR_SM,0.5833954947781251
2,PHIT,0.12312223903954472
3,Zone,0.10794895419177927
4,RHOB,0.08111171965833908
5,PEF_missing_source,0.06311440077384226
6,NPHI,0.06258435049041546
7,SWT,0.05214550502956821
8,DT,0.03628651486925259
9,PEF,0.02703083022109739
10,MSFL,0.018160839624875514
11,CALI,0.015439611510199302
12,CT,0.01478943538775298
13,GR,0.012888022168253587
14,Source,0.01253376404055043
15,RT,0.011953392267250387
16,DEPTH,0.010490019587850367
17,DRHO,0.009561469784641312
18,DT_missing_source,0.008289210278779382
19,CT_missing,0.0017016230493512759
20,SWT_missing,0.001615877198824592
21,RT_missing,0.0014884419178092857
22,MSFL_missing_source,0.0005255496823205781
