parameter_set,scenario,draw,frontier_size,jaccard_vs_baseline,split_holds,boundary_cost,wireline_max_cost,cpor_entry_cost,on_frontier_640,cost_640,on_frontier_4096,cost_4096,on_frontier_4550,cost_4550
primary,rank_preserving,0,16,0.7222222222222222,True,6.202602969214883,5.065323566367652,6.202602969214883,False,7.066995872917197,True,6.202602969214883,True,17.613380079040315
primary,rank_preserving,1,22,0.6818181818181818,True,13.465348465911177,13.028055789346226,13.465348465911177,True,8.028055789346226,True,13.465348465911177,True,25.029165020418947
primary,rank_preserving,2,20,0.75,True,11.673480030753783,11.129206168003442,11.673480030753783,True,6.129206168003441,True,11.673480030753783,True,22.132299496730766
primary,rank_preserving,3,21,0.7142857142857143,True,10.641408205697061,10.042031994184654,10.641408205697061,True,8.042031994184653,True,10.641408205697061,True,22.02510878352878
primary,rank_preserving,4,17,0.7777777777777778,True,7.951214023691731,6.328890658528369,7.951214023691731,True,6.328890658528369,True,7.951214023691731,True,18.633069233062272
primary,rank_preserving,5,14,0.8125,True,6.109363139826859,4.834166603159048,6.109363139826859,False,6.975909755425008,True,6.109363139826859,True,17.46549769682697
primary,rank_preserving,6,20,0.75,True,12.158100068634429,11.944294377138034,12.158100068634429,True,5.944294377138035,True,12.158100068634429,True,22.367529840739845
primary,rank_preserving,7,16,0.7222222222222222,True,6.157670231366245,4.682871714696762,6.157670231366245,False,6.391812414005205,True,6.157670231366245,True,16.315493987191424
primary,rank_preserving,8,19,0.7894736842105263,True,10.860053011261154,8.122936269586964,10.860053011261154,True,6.122936269586964,True,10.860053011261154,True,21.298016250438334
primary,rank_preserving,9,19,0.7894736842105263,True,11.34376651829754,10.74328119753763,11.34376651829754,True,5.74328119753763,True,11.34376651829754,True,21.829732437373544
primary,rank_preserving,10,21,0.7142857142857143,True,12.363230677788044,10.11339004407292,12.363230677788044,True,8.11339004407292,True,12.363230677788044,True,23.910748777613655
primary,rank_preserving,11,21,0.7142857142857143,True,13.867321122786027,13.390291727920214,13.867321122786027,True,8.390291727920214,True,13.867321122786027,True,25.946406321126204
primary,rank_preserving,12,16,0.8235294117647058,True,7.976122004952524,6.087439282524215,7.976122004952524,True,6.087439282524215,True,7.976122004952524,True,18.858589031355887
primary,rank_preserving,13,18,0.5714285714285714,True,12.841571613807723,12.801846966422286,12.841571613807723,True,6.8018469664222865,True,12.841571613807723,True,22.90743292027938
primary,rank_preserving,14,20,0.75,True,12.558381492551913,9.721238537632093,12.558381492551913,True,7.721238537632093,True,12.558381492551913,True,23.287700591696275
primary,rank_preserving,15,19,0.7894736842105263,True,11.772859125648928,8.992816103377624,11.772859125648928,True,6.992816103377625,True,11.772859125648928,True,22.365034962191668
primary,rank_preserving,16,20,0.75,True,13.242059730317067,11.58946371746507,13.242059730317067,True,5.589463717465072,True,13.242059730317067,True,23.754403012126875
primary,rank_preserving,17,20,0.75,True,11.519054964290692,11.386819550865798,11.519054964290692,True,5.386819550865799,True,11.519054964290692,True,21.860234800369444
