parameter_set,scenario,draw,frontier_size,jaccard_vs_baseline,split_holds,boundary_cost,wireline_max_cost,cpor_entry_cost,on_frontier_640,cost_640,on_frontier_4096,cost_4096,on_frontier_4550,cost_4550
primary,unconstrained,0,18,0.8333333333333334,True,9.771644310645407,9.391882068772476,9.771644310645407,True,7.391882068772476,True,9.771644310645407,True,21.366650142284048
primary,unconstrained,1,19,0.7894736842105263,True,8.761140911696778,8.552857751065662,8.761140911696778,True,6.5528577510656625,True,8.761140911696778,True,19.724563161964266
primary,unconstrained,2,20,0.75,True,12.278797742918355,10.563871570812939,12.278797742918355,True,8.563871570812939,True,12.278797742918355,True,24.251751600077068
primary,unconstrained,3,22,0.6818181818181818,True,13.540081844334928,13.51154076231463,13.540081844334928,True,7.511540762314629,True,13.540081844334928,True,23.633654639776694
primary,unconstrained,4,18,0.8333333333333334,True,8.45110436448411,8.425301440466752,8.45110436448411,True,6.425301440466752,True,8.45110436448411,True,18.406972045204725
primary,unconstrained,5,19,0.7,True,6.161049206234867,5.710946411522693,6.161049206234867,True,5.710946411522693,True,6.161049206234867,True,16.600221996402336
primary,unconstrained,6,16,0.7222222222222222,True,6.669549515320519,5.287605744724544,6.669549515320519,False,6.756831543214211,True,6.669549515320519,True,18.00091293906719
primary,unconstrained,7,20,0.75,True,11.176121214707088,9.557885441004894,11.176121214707088,True,7.557885441004894,True,11.176121214707088,True,21.963089245852593
primary,unconstrained,8,19,0.7894736842105263,True,9.028679984959984,8.656948761292083,9.028679984959984,True,6.6569487612920835,True,9.028679984959984,True,21.183215454857347
primary,unconstrained,9,20,0.6666666666666666,True,8.994129917997757,8.079152113886131,8.994129917997757,True,8.079152113886131,True,8.994129917997757,True,19.63877485909203
primary,unconstrained,10,20,0.6666666666666666,True,10.426556303843535,9.858566259664983,10.426556303843535,True,8.53178106620835,True,10.426556303843535,True,21.97028449637331
primary,unconstrained,11,19,0.7894736842105263,True,11.335812649383284,11.12799505902337,11.335812649383284,True,6.12799505902337,True,11.335812649383284,True,21.726566320761854
primary,unconstrained,12,17,0.6842105263157895,True,7.71642208306909,7.061392717179611,7.71642208306909,False,9.528444569038292,True,7.71642208306909,True,19.801661611217153
