parameter_set,scenario,tag,metric,value
primary,rank_preserving,,p_on_frontier_640,0.91545
primary,rank_preserving,,p_on_frontier_4096,1.0
primary,rank_preserving,,p_on_frontier_4550,1.0
primary,rank_preserving,,p_split_holds,1.0
primary,rank_preserving,,jaccard_median,0.75
primary,rank_preserving,,jaccard_p5,0.631578947368421
primary,rank_preserving,,jaccard_min,0.5
primary,rank_preserving,,cpor_entry_cost_median,10.401759414478008
primary,rank_preserving,,cpor_entry_cost_p5,6.844187233656479
primary,rank_preserving,,cpor_entry_cost_p95,13.634726293215213
primary,rank_preserving,,n_requested,20000.0
primary,rank_preserving,,n_accepted,20000.0
primary,rank_preserving,,attempts,65732.0
primary,rank_preserving,,acceptance_rate,0.3042658066086533
primary,unconstrained,,p_on_frontier_640,0.8548
primary,unconstrained,,p_on_frontier_4096,1.0
primary,unconstrained,,p_on_frontier_4550,1.0
primary,unconstrained,,p_split_holds,1.0
primary,unconstrained,,jaccard_median,0.7368421052631579
primary,unconstrained,,jaccard_p5,0.5789473684210527
primary,unconstrained,,jaccard_min,0.5
primary,unconstrained,,cpor_entry_cost_median,9.94472386727815
primary,unconstrained,,cpor_entry_cost_p5,6.397758129881944
primary,unconstrained,,cpor_entry_cost_p95,13.589347907810714
primary,unconstrained,,n_requested,20000.0
primary,unconstrained,,n_accepted,20000.0
primary,unconstrained,,attempts,20000.0
primary,unconstrained,,acceptance_rate,1.0
secondary,rank_preserving,,p_on_frontier_640,0.87895
secondary,rank_preserving,,p_on_frontier_4096,1.0
secondary,rank_preserving,,p_on_frontier_4550,1.0
secondary,rank_preserving,,p_split_holds,1.0
secondary,rank_preserving,,jaccard_median,0.5555555555555556
secondary,rank_preserving,,jaccard_p5,0.4375
secondary,rank_preserving,,jaccard_min,0.28125
secondary,rank_preserving,,cpor_entry_cost_median,10.533104725606911
secondary,rank_preserving,,cpor_entry_cost_p5,7.040800258422124
secondary,rank_preserving,,cpor_entry_cost_p95,13.657564828044428
secondary,rank_preserving,,n_requested,20000.0
secondary,rank_preserving,,n_accepted,20000.0
secondary,rank_preserving,,attempts,257725.0
secondary,rank_preserving,,acceptance_rate,0.0776020952565719
secondary,unconstrained,,p_on_frontier_640,0.83985
secondary,unconstrained,,p_on_frontier_4096,1.0
secondary,unconstrained,,p_on_frontier_4550,1.0
secondary,unconstrained,,p_split_holds,1.0
secondary,unconstrained,,jaccard_median,0.52
secondary,unconstrained,,jaccard_p5,0.3888888888888889
secondary,unconstrained,,jaccard_min,0.2647058823529412
secondary,unconstrained,,cpor_entry_cost_median,9.959827658380302
secondary,unconstrained,,cpor_entry_cost_p5,6.388738449158601
secondary,unconstrained,,cpor_entry_cost_p95,13.584265428117543
secondary,unconstrained,,n_requested,20000.0
secondary,unconstrained,,n_accepted,20000.0
secondary,unconstrained,,attempts,20000.0
secondary,unconstrained,,acceptance_rate,1.0
