metric,primary_rank_preserving,primary_unconstrained,secondary_rank_preserving,secondary_unconstrained
acceptance_rate,0.3042658066086533,1.0,0.0776020952565719,1.0
attempts,65732.0,20000.0,257725.0,20000.0
cpor_entry_cost_median,10.401759414478008,9.94472386727815,10.533104725606911,9.959827658380302
cpor_entry_cost_p5,6.844187233656479,6.397758129881944,7.040800258422124,6.388738449158601
cpor_entry_cost_p95,13.634726293215213,13.589347907810714,13.657564828044428,13.584265428117543
jaccard_median,0.75,0.7368421052631579,0.5555555555555556,0.52
jaccard_min,0.5,0.5,0.28125,0.2647058823529412
jaccard_p5,0.631578947368421,0.5789473684210527,0.4375,0.3888888888888889
n_accepted,20000.0,20000.0,20000.0,20000.0
n_requested,20000.0,20000.0,20000.0,20000.0
p_on_frontier_4096,1.0,1.0,1.0,1.0
p_on_frontier_4550,1.0,1.0,1.0,1.0
p_on_frontier_640,0.91545,0.8548,0.87895,0.83985
p_split_holds,1.0,1.0,1.0,1.0
