parameter,feature,kind,delta,perturbed_value,frontier_size,jaccard_vs_baseline,split_holds,boundary_cost,wireline_max_cost,n_wireline,n_cpor,cpor_entry_cost,on_frontier_640,on_frontier_4096,on_frontier_4550
CPOR_SM_standalone,CPOR_SM,standalone,-0.4,6.0,13,0.8666666666666667,True,6.0,5.0,4,8,6.0,False,True,True
CPOR_SM_standalone,CPOR_SM,standalone,-0.3,7.0,13,0.8666666666666667,True,7.0,5.0,4,8,7.0,False,True,True
CPOR_SM_standalone,CPOR_SM,standalone,-0.2,8.0,14,0.9333333333333333,True,8.0,7.0,5,8,8.0,True,True,True
CPOR_SM_standalone,CPOR_SM,standalone,-0.1,9.0,14,0.9333333333333333,True,9.0,7.0,5,8,9.0,True,True,True
CPOR_SM_standalone,CPOR_SM,standalone,0.0,10.0,15,1.0,True,10.0,9.0,6,8,10.0,True,True,True
CPOR_SM_standalone,CPOR_SM,standalone,0.1,11.0,15,1.0,True,11.0,9.0,6,8,11.0,True,True,True
CPOR_SM_standalone,CPOR_SM,standalone,0.2,12.0,15,1.0,True,12.0,9.0,6,8,12.0,True,True,True
CPOR_SM_standalone,CPOR_SM,standalone,0.3,13.0,16,0.9375,True,13.0,12.0,7,8,13.0,True,True,True
CPOR_SM_standalone,CPOR_SM,standalone,0.4,14.0,17,0.8823529411764706,True,14.0,13.0,8,8,14.0,True,True,True
PHIT_standalone,PHIT,standalone,-0.4,2.4,16,0.9375,True,10.0,7.4,7,8,10.0,True,True,True
PHIT_standalone,PHIT,standalone,-0.3,2.8,16,0.9375,True,10.0,7.8,7,8,10.0,True,True,True
PHIT_standalone,PHIT,standalone,-0.2,3.2,15,1.0,True,10.0,8.2,6,8,10.0,True,True,True
PHIT_standalone,PHIT,standalone,-0.1,3.6,15,1.0,True,10.0,8.6,6,8,10.0,True,True,True
PHIT_standalone,PHIT,standalone,0.0,4.0,15,1.0,True,10.0,9.0,6,8,10.0,True,True,True
PHIT_standalone,PHIT,standalone,0.1,4.4,16,0.9375,True,10.0,9.4,7,8,10.0,True,True,True
PHIT_standalone,PHIT,standalone,0.2,4.8,16,0.9375,True,10.0,9.8,7,8,10.0,True,True,True
PHIT_standalone,PHIT,standalone,0.3,5.2,16,0.8235294117647058,True,10.0,8.2,7,8,10.0,True,True,True
PHIT_standalone,PHIT,standalone,0.4,5.6,16,0.8235294117647058,True,10.0,8.6,7,8,10.0,True,True,True
PHIT_marginal,PHIT,marginal,-0.4,1.2,15,1.0,True,10.0,9.0,6,8,10.0,True,True,True
PHIT_marginal,PHIT,marginal,-0.3,1.4,15,1.0,True,10.0,9.0,6,8,10.0,True,True,True
PHIT_marginal,PHIT,marginal,-0.2,1.6,15,1.0,True,10.0,9.0,6,8,10.0,True,True,True
PHIT_marginal,PHIT,marginal,-0.1,1.8,15,1.0,True,10.0,9.0,6,8,10.0,True,True,True
PHIT_marginal,PHIT,marginal,0.0,2.0,15,1.0,True,10.0,9.0,6,8,10.0,True,True,True
PHIT_marginal,PHIT,marginal,0.1,2.2,15,1.0,True,10.0,9.0,6,8,10.0,True,True,True
PHIT_marginal,PHIT,marginal,0.2,2.4,15,1.0,True,10.0,9.0,6,8,10.0,True,True,True
PHIT_marginal,PHIT,marginal,0.3,2.6,15,1.0,True,10.0,9.0,6,8,10.0,True,True,True
PHIT_marginal,PHIT,marginal,0.4,2.8,15,1.0,True,10.0,9.0,6,8,10.0,True,True,True
SWT_standalone,SWT,standalone,-0.4,3.5999999999999996,15,1.0,True,10.0,9.0,6,8,10.0,True,True,True
SWT_standalone,SWT,standalone,-0.3,4.199999999999999,15,1.0,True,10.0,9.0,6,8,10.0,True,True,True
SWT_standalone,SWT,standalone,-0.2,4.800000000000001,15,1.0,True,10.0,9.0,6,8,10.0,True,True,True
SWT_standalone,SWT,standalone,-0.1,5.4,15,1.0,True,10.0,9.0,6,8,10.0,True,True,True
SWT_standalone,SWT,standalone,0.0,6.0,15,1.0,True,10.0,9.0,6,8,10.0,True,True,True
SWT_standalone,SWT,standalone,0.1,6.6000000000000005,15,1.0,True,10.0,9.0,6,8,10.0,True,True,True
SWT_standalone,SWT,standalone,0.2,7.199999999999999,15,1.0,True,10.0,9.0,6,8,10.0,True,True,True
SWT_standalone,SWT,standalone,0.3,7.800000000000001,15,1.0,True,10.0,9.0,6,8,10.0,True,True,True
SWT_standalone,SWT,standalone,0.4,8.399999999999999,15,1.0,True,10.0,9.0,6,8,10.0,True,True,True
SWT_marginal,SWT,marginal,-0.4,1.2,15,1.0,True,10.0,9.0,6,8,10.0,True,True,True
SWT_marginal,SWT,marginal,-0.3,1.4,15,1.0,True,10.0,9.0,6,8,10.0,True,True,True
SWT_marginal,SWT,marginal,-0.2,1.6,15,1.0,True,10.0,9.0,6,8,10.0,True,True,True
SWT_marginal,SWT,marginal,-0.1,1.8,15,1.0,True,10.0,9.0,6,8,10.0,True,True,True
SWT_marginal,SWT,marginal,0.0,2.0,15,1.0,True,10.0,9.0,6,8,10.0,True,True,True
SWT_marginal,SWT,marginal,0.1,2.2,15,1.0,True,10.0,9.0,6,8,10.0,True,True,True
SWT_marginal,SWT,marginal,0.2,2.4,15,1.0,True,10.0,9.0,6,8,10.0,True,True,True
SWT_marginal,SWT,marginal,0.3,2.6,15,1.0,True,10.0,9.0,6,8,10.0,True,True,True
SWT_marginal,SWT,marginal,0.4,2.8,15,1.0,True,10.0,9.0,6,8,10.0,True,True,True
PEF_standalone,PEF,standalone,-0.4,1.7999999999999998,15,0.6666666666666666,True,10.0,7.8,6,8,10.0,True,True,True
PEF_standalone,PEF,standalone,-0.3,2.0999999999999996,18,0.8333333333333334,True,10.0,8.1,6,11,10.0,True,True,True
PEF_standalone,PEF,standalone,-0.2,2.4000000000000004,18,0.8333333333333334,True,10.0,8.4,6,11,10.0,True,True,True
PEF_standalone,PEF,standalone,-0.1,2.7,18,0.8333333333333334,True,10.0,8.7,6,11,10.0,True,True,True
PEF_standalone,PEF,standalone,0.0,3.0,15,1.0,True,10.0,9.0,6,8,10.0,True,True,True
PEF_standalone,PEF,standalone,0.1,3.3000000000000003,18,0.8333333333333334,True,10.0,9.3,8,9,10.0,True,True,True
PEF_standalone,PEF,standalone,0.2,3.5999999999999996,18,0.8333333333333334,True,10.0,9.6,8,9,10.0,True,True,True
PEF_standalone,PEF,standalone,0.3,3.9000000000000004,18,0.8333333333333334,True,10.0,9.9,8,9,10.0,True,True,True
PEF_standalone,PEF,standalone,0.4,4.199999999999999,18,0.7368421052631579,True,10.0,9.0,8,9,10.0,True,True,True
PEF_marginal,PEF,marginal,-0.4,0.6,18,0.8333333333333334,True,10.0,9.0,8,9,10.0,True,True,True
PEF_marginal,PEF,marginal,-0.3,0.7,18,0.8333333333333334,True,10.0,9.0,8,9,10.0,True,True,True
PEF_marginal,PEF,marginal,-0.2,0.8,18,0.8333333333333334,True,10.0,9.0,8,9,10.0,True,True,True
PEF_marginal,PEF,marginal,-0.1,0.9,18,0.8333333333333334,True,10.0,9.0,8,9,10.0,True,True,True
PEF_marginal,PEF,marginal,0.0,1.0,15,1.0,True,10.0,9.0,6,8,10.0,True,True,True
PEF_marginal,PEF,marginal,0.1,1.1,19,0.7894736842105263,True,10.0,9.0,7,11,10.0,True,True,True
PEF_marginal,PEF,marginal,0.2,1.2,19,0.7894736842105263,True,10.0,9.0,7,11,10.0,True,True,True
