baseline_slug,baseline_label,equation,swirr_proxy_note,subset_id,subset_label,metric,direction,nested_mean,baseline_mean,delta_nested_minus_baseline
loglinear_cpor_sm,Log-linear porosity-permeability (CPOR_SM),log10(k) = a + b*CPOR_SM,,4550,best_performer,RMSE,minimize,190.6072605596142,189.98704372554212,0.6202168340720675
loglinear_cpor_sm,Log-linear porosity-permeability (CPOR_SM),log10(k) = a + b*CPOR_SM,,4550,best_performer,MAE,minimize,62.31673565345384,64.51713794256113,-2.200402289107295
loglinear_cpor_sm,Log-linear porosity-permeability (CPOR_SM),log10(k) = a + b*CPOR_SM,,4550,best_performer,MedAE,minimize,5.02014922298487,4.856320327623143,0.16382889536172662
loglinear_cpor_sm,Log-linear porosity-permeability (CPOR_SM),log10(k) = a + b*CPOR_SM,,4550,best_performer,R2,maximize,0.09339463510120054,0.1015136755849176,-0.00811904048371706
loglinear_cpor_sm,Log-linear porosity-permeability (CPOR_SM),log10(k) = a + b*CPOR_SM,,4550,best_performer,RMSLE,minimize,0.6609583890390777,0.7243559616767737,-0.06339757263769608
loglinear_cpor_sm,Log-linear porosity-permeability (CPOR_SM),log10(k) = a + b*CPOR_SM,,4550,best_performer,RMSE_log,minimize,0.6609583890390777,0.7243559616767737,-0.06339757263769608
loglinear_cpor_sm,Log-linear porosity-permeability (CPOR_SM),log10(k) = a + b*CPOR_SM,,4550,best_performer,MAE_log,minimize,0.532871168078384,0.5794751064020999,-0.0466039383237159
loglinear_cpor_sm,Log-linear porosity-permeability (CPOR_SM),log10(k) = a + b*CPOR_SM,,4550,best_performer,R2_log,maximize,0.6811716516805336,0.6177611730943628,0.06341047858617077
loglinear_cpor_sm,Log-linear porosity-permeability (CPOR_SM),log10(k) = a + b*CPOR_SM,,4096,cpor_sm_only_baseline,RMSE,minimize,194.20010522733384,189.98704372554212,4.213061501791714
loglinear_cpor_sm,Log-linear porosity-permeability (CPOR_SM),log10(k) = a + b*CPOR_SM,,4096,cpor_sm_only_baseline,MAE,minimize,64.9194237733867,64.51713794256113,0.40228583082556213
loglinear_cpor_sm,Log-linear porosity-permeability (CPOR_SM),log10(k) = a + b*CPOR_SM,,4096,cpor_sm_only_baseline,MedAE,minimize,4.916470806260768,4.856320327623143,0.060150478637624794
loglinear_cpor_sm,Log-linear porosity-permeability (CPOR_SM),log10(k) = a + b*CPOR_SM,,4096,cpor_sm_only_baseline,R2,maximize,0.07768944105678646,0.1015136755849176,-0.023824234528131136
loglinear_cpor_sm,Log-linear porosity-permeability (CPOR_SM),log10(k) = a + b*CPOR_SM,,4096,cpor_sm_only_baseline,RMSLE,minimize,0.7230293607206365,0.7243559616767737,-0.001326600956137236
loglinear_cpor_sm,Log-linear porosity-permeability (CPOR_SM),log10(k) = a + b*CPOR_SM,,4096,cpor_sm_only_baseline,RMSE_log,minimize,0.7230293607206365,0.7243559616767737,-0.001326600956137236
