outer_fold,outer_fold_index,subset_id,subset_label,features,n_features,cost,model,variant,hp_budget,inner_best_score,inner_best_search_type,best_params_json,timestamp,outer_RMSE,inner_RMSE,outer_MAE,inner_MAE,outer_MedAE,inner_MedAE,outer_R2,inner_R2,outer_RMSLE,inner_RMSLE,outer_RMSE_log,inner_RMSE_log,outer_MAE_log,inner_MAE_log,outer_R2_log,inner_R2_log
D,0,4550,best_performer,"CALI,DRHO,CT,PEF,MSFL,CPOR_SM",6,21,ExtraTrees,dataset/prepared_variants/all_sources_without_outlier_adaptive.csv,1000,-0.6613334658593963,bayesian,"{""n_estimators"": 100, ""max_depth"": 30, ""max_features"": 0.5, ""min_samples_split"": 6, ""min_samples_leaf"": 4}",2026-06-04T14:31:08.899373,170.88491809106262,198.1934941009263,42.867244561553775,66.75918512808919,1.837706250550553,5.721716147176518,0.11542615032611292,0.05494649548178419,0.7306354964601318,0.6613334658593963,0.7306354964601318,0.6613334658593963,0.597186139922819,0.5382696457617135,0.6909851867446191,0.6705003864842037
D,0,640,budget_wireline_only,"PEF,PHIT",2,7,ExtraTrees,dataset/prepared_variants/all_sources_without_outlier_adaptive.csv,1000,-0.8099998339408644,random,"{""max_depth"": 10, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""min_samples_split"": 3, ""n_estimators"": 100}",2026-06-04T14:52:18.120523,177.77249675221046,203.40375884906769,44.59547267565909,71.72387994050283,1.6524382950096244,8.614935801474854,0.04268300010293535,0.037906153336373795,0.879830894943079,0.8099998339408644,0.879830894943079,0.8099998339408644,0.6929839506529876,0.6585558797028807,0.5518987253505135,0.4873773098341189
D,0,4096,cpor_sm_only_baseline,CPOR_SM,1,10,ExtraTrees,dataset/prepared_variants/all_sources_without_outlier_adaptive.csv,1000,-0.7280604259111002,bayesian,"{""n_estimators"": 300, ""max_depth"": 10, ""max_features"": 0.5, ""min_samples_split"": 7, ""min_samples_leaf"": 2}",2026-06-04T15:10:56.588920,172.76344734783154,197.93025529935178,43.0734748463453,68.49886958880853,1.5515343088397124,6.03996145075575,0.09587110292612644,0.07216767401364362,0.7464531906027482,0.7280604259111002,0.7464531906027482,0.7280604259111002,0.5824426852329347,0.5859891357536654,0.6774604908468678,0.5968778098043837
D,0,8191,full_feature_baseline,"GR,CALI,DRHO,RHOB,NPHI,RT,CT,PEF,MSFL,PHIT,DT,SWT,CPOR_SM",13,31,ExtraTrees,dataset/prepared_variants/all_sources_without_outlier_adaptive.csv,1000,-0.683081004729087,bayesian,"{""n_estimators"": 200, ""max_depth"": 20, ""max_features"": 0.5, ""min_samples_split"": 10, ""min_samples_leaf"": 1}",2026-06-04T15:35:44.528798,162.9016333579623,199.6763694425019,39.910014424622,68.42468477829611,2.1677517834167523,6.019643792994846,0.19614539343303894,0.040201932627378,0.741211651436087,0.683081004729087,0.741211651436087,0.683081004729087,0.6071145155999093,0.5520016834728295,0.6819742844641675,0.6465233455764201
A,0,4550,best_performer,"CALI,DRHO,CT,PEF,MSFL,CPOR_SM",6,21,ExtraTrees,dataset/prepared_variants/all_sources_without_outlier_adaptive.csv,1000,-0.6738449264333174,bayesian,"{""n_estimators"": 500, ""max_depth"": null, ""max_features"": 0.5, ""min_samples_split"": 7, ""min_samples_leaf"": 1}",2026-06-04T14:34:17.803380,144.99477707028547,197.39758569968498,48.69009783785072,64.69281887115794,3.7214656559960684,5.317873348282568,0.21116123260866493,0.08866596202987385,0.6159481930609396,0.6738449264333174,0.6159481930609396,0.6738449264333174,0.5124218152481664,0.5473077338907443,0.7543463692071688,0.6649766196123412
A,0,640,budget_wireline_only,"PEF,PHIT",2,7,ExtraTrees,dataset/prepared_variants/all_sources_without_outlier_adaptive.csv,1000,-0.8495046232515263,random,"{""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 5, ""min_samples_split"": 3, ""n_estimators"": 200}",2026-06-04T14:59:31.275802,146.71198336710458,206.1866415635715,50.68296125968792,69.8120056823067,2.982313951869523,7.90225744389421,0.19236579268580367,0.03803759689283696,0.7312018021193472,0.8495046232515263,0.7312018021193472,0.8495046232515263,0.5976727740305611,0.68675826872897,0.6538141419980661,0.4638380083435034
A,0,4096,cpor_sm_only_baseline,CPOR_SM,1,10,ExtraTrees,dataset/prepared_variants/all_sources_without_outlier_adaptive.csv,1000,-0.7037488986333003,random,"{""max_depth"": 10, ""max_features"": 0.5, ""min_samples_leaf"": 3, ""min_samples_split"": 6, ""n_estimators"": 100}",2026-06-04T15:15:13.084019,125.84945769101472,201.28355847084106,49.064677561106016,65.81670287701999,3.7502862427219816,5.316909751044237,0.4057266901976946,0.06719896933454594,0.6703505390575948,0.7037488986333003,0.6703505390575948,0.7037488986333003,0.5612813719849373,0.5675134945865764,0.7090363458360988,0.6362717461721713
A,0,8191,full_feature_baseline,"GR,CALI,DRHO,RHOB,NPHI,RT,CT,PEF,MSFL,PHIT,DT,SWT,CPOR_SM",13,31,ExtraTrees,dataset/prepared_variants/all_sources_without_outlier_adaptive.csv,1000,-0.6866382882307523,bayesian,"{""n_estimators"": 100, ""max_depth"": 20, ""max_features"": 0.5, ""min_samples_split"": 5, ""min_samples_leaf"": 2}",2026-06-04T15:41:48.524086,151.89465555221997,197.09966008936019,49.98713770582986,65.28601183248033,3.336915837163262,6.257788831498405,0.13429781149372588,0.10110310860269238,0.6703068596102403,0.6866382882307523,0.6703068596102403,0.6866382882307523,0.558007841531939,0.5567264987479069,0.7090742624687134,0.6479825736263904
G,0,4550,best_performer,"CALI,DRHO,CT,PEF,MSFL,CPOR_SM",6,21,ExtraTrees,dataset/prepared_variants/all_sources_without_outlier_adaptive.csv,1000,-0.6418699150887057,random,"{""max_depth"": 30, ""max_features"": 0.5, ""min_samples_leaf"": 2, ""min_samples_split"": 7, ""n_estimators"": 100}",2026-06-04T14:27:00.569127,108.9879877350007,203.49518188710215,30.534371023333556,67.15118945623404,1.4619607548223137,5.582470232151297,0.0028575224692252155,0.11688520589794661,0.7551969090272099,0.6418699150887057,0.7551969090272099,0.6418699150887057,0.5839451870213683,0.52025434247009,0.5716814333518553,0.7014567141823599
G,0,640,budget_wireline_only,"PEF,PHIT",2,7,ExtraTrees,dataset/prepared_variants/all_sources_without_outlier_adaptive.csv,1000,-0.8049905421924283,random,"{""max_depth"": 10, ""max_features"": 0.5, ""min_samples_leaf"": 5, ""min_samples_split"": 2, ""n_estimators"": 200}",2026-06-04T14:58:08.336857,104.22450344789317,214.05737084857506,34.00069412864881,72.62399051378155,5.668633932211826,7.879151057948152,0.08811595234013614,0.041862340209562275,0.8399156875541121,0.8049905421924283,0.8399156875541121,0.8049905421924283,0.7122466308516049,0.6494570027122155,0.47019277223291567,0.5224117649609183
